Frame,Violation Type,Details
1,Low OCR Confidence,OCR Confidence: 0.13
1,Low OCR Confidence,OCR Confidence: 0.20
1,Invalid Plate Format,W
1,Low OCR Confidence,OCR Confidence: 0.02
2,Low OCR Confidence,OCR Confidence: 0.02
2,Low OCR Confidence,OCR Confidence: 0.47
2,Invalid Plate Format,10
2,Low OCR Confidence,OCR Confidence: 0.02
2,Invalid Plate Format,1772que;
2,No Helmet Detected,No helmets found
3,Low OCR Confidence,OCR Confidence: 0.05
3,Blurry Plate,Plate appears blurry
3,Low OCR Confidence,OCR Confidence: 0.12
3,Invalid Plate Format,472018 =
4,Low OCR Confidence,OCR Confidence: 0.04
4,Invalid Plate Format,IUJJQ)
4,Blurry Plate,Plate appears blurry
4,Low OCR Confidence,OCR Confidence: 0.07
4,Invalid Plate Format,M
4,No Helmet Detected,No helmets found
5,Low OCR Confidence,OCR Confidence: 0.03
5,Invalid Plate Format,[UJJQ)E
5,Low OCR Confidence,OCR Confidence: 0.05
5,Invalid Plate Format,078018 :
5,No Helmet Detected,No helmets found
6,Low OCR Confidence,OCR Confidence: 0.07
6,Blurry Plate,Plate appears blurry
6,Low OCR Confidence,OCR Confidence: 0.10
6,Invalid Plate Format,IA
6,Low OCR Confidence,OCR Confidence: 0.20
6,Invalid Plate Format,378018 =
7,Low OCR Confidence,OCR Confidence: 0.05
7,Invalid Plate Format,LUJJG)
7,Invalid Plate Format,M=
7,Invalid Plate Format,'7682
7,Low OCR Confidence,OCR Confidence: 0.20
8,Blurry Plate,Plate appears blurry
8,Low OCR Confidence,OCR Confidence: 0.45
8,Invalid Plate Format,Im
8,Low OCR Confidence,OCR Confidence: 0.03
8,Invalid Plate Format,'7681
8,Low OCR Confidence,OCR Confidence: 0.23
8,Invalid Plate Format,13018'
9,Low OCR Confidence,OCR Confidence: 0.09
9,Invalid Plate Format,IJJQ)
9,Blurry Plate,Plate appears blurry
9,Invalid Plate Format,@
9,Low OCR Confidence,OCR Confidence: 0.01
9,Invalid Plate Format,A9
10,Low OCR Confidence,OCR Confidence: 0.09
10,Invalid Plate Format,IJJQ)
10,Blurry Plate,Plate appears blurry
10,Low OCR Confidence,OCR Confidence: 0.10
10,Invalid Plate Format,5
11,Low OCR Confidence,OCR Confidence: 0.05
11,Invalid Plate Format,[KJJQ)
11,Blurry Plate,Plate appears blurry
12,Low OCR Confidence,OCR Confidence: 0.02
12,Low OCR Confidence,OCR Confidence: 0.10
12,Invalid Plate Format,0
13,Low OCR Confidence,OCR Confidence: 0.04
13,Invalid Plate Format,LIUNJQ)
13,Low OCR Confidence,OCR Confidence: 0.27
13,Invalid Plate Format,0
14,Low OCR Confidence,OCR Confidence: 0.03
14,Invalid Plate Format,U5JA)
14,Low OCR Confidence,OCR Confidence: 0.09
14,Invalid Plate Format,W
15,Low OCR Confidence,OCR Confidence: 0.19
15,Invalid Plate Format,LVJJA)_
15,Blurry Plate,Plate appears blurry
15,Invalid Plate Format,0
16,Low OCR Confidence,OCR Confidence: 0.01
16,Invalid Plate Format,VrUTJA)
16,Blurry Plate,Plate appears blurry
16,Low OCR Confidence,OCR Confidence: 0.01
16,Invalid Plate Format,TEEn
17,Blurry Plate,Plate appears blurry
17,Low OCR Confidence,OCR Confidence: 0.01
17,Invalid Plate Format,VRUJJA)
17,Low OCR Confidence,OCR Confidence: 0.13
18,Blurry Plate,Plate appears blurry
18,Low OCR Confidence,OCR Confidence: 0.25
18,Invalid Plate Format,0
18,Low OCR Confidence,OCR Confidence: 0.02
18,Invalid Plate Format,JKUJ JG)
18,Low OCR Confidence,OCR Confidence: 0.08
18,Invalid Plate Format,3ug
19,Low OCR Confidence,OCR Confidence: 0.06
19,Invalid Plate Format,KUJQ)
19,Blurry Plate,Plate appears blurry
19,Low OCR Confidence,OCR Confidence: 0.05
19,Invalid Plate Format,3uuse
19,No Helmet Detected,No helmets found
20,Blurry Plate,Plate appears blurry
20,Low OCR Confidence,OCR Confidence: 0.02
20,Invalid Plate Format,L4TQ)
20,Low OCR Confidence,OCR Confidence: 0.25
20,Invalid Plate Format,0
21,Blurry Plate,Plate appears blurry
21,Low OCR Confidence,OCR Confidence: 0.03
21,Invalid Plate Format,Iu3iQ)
21,Low OCR Confidence,OCR Confidence: 0.09
21,Invalid Plate Format,~
22,Blurry Plate,Plate appears blurry
22,Low OCR Confidence,OCR Confidence: 0.26
22,Invalid Plate Format,03
22,Low OCR Confidence,OCR Confidence: 0.06
22,Invalid Plate Format,JKVSJq) _
22,Low OCR Confidence,OCR Confidence: 0.02
23,Blurry Plate,Plate appears blurry
23,Low OCR Confidence,OCR Confidence: 0.03
23,Low OCR Confidence,OCR Confidence: 0.03
23,Invalid Plate Format,JKu5JQJ
24,Low OCR Confidence,OCR Confidence: 0.32
24,Invalid Plate Format,@
24,Low OCR Confidence,OCR Confidence: 0.04
24,Invalid Plate Format,0UJiQ
25,Low OCR Confidence,OCR Confidence: 0.06
25,Invalid Plate Format,MTZ
25,Low OCR Confidence,OCR Confidence: 0.03
25,Invalid Plate Format,Luzo
26,Blurry Plate,Plate appears blurry
26,Low OCR Confidence,OCR Confidence: 0.01
26,Invalid Plate Format,Luwq
27,Low OCR Confidence,OCR Confidence: 0.06
27,Invalid Plate Format,IoET
27,Low OCR Confidence,OCR Confidence: 0.09
27,Invalid Plate Format,5
27,Low OCR Confidence,OCR Confidence: 0.03
28,Low OCR Confidence,OCR Confidence: 0.25
28,Invalid Plate Format,0
28,Low OCR Confidence,OCR Confidence: 0.07
28,Invalid Plate Format,Luzjo
28,Low OCR Confidence,OCR Confidence: 0.34
28,Invalid Plate Format,54
29,Low OCR Confidence,OCR Confidence: 0.09
29,Invalid Plate Format,DTS
29,Low OCR Confidence,OCR Confidence: 0.48
29,Invalid Plate Format,"@"""
29,Low OCR Confidence,OCR Confidence: 0.01
30,Low OCR Confidence,OCR Confidence: 0.04
30,Invalid Plate Format,0
30,Low OCR Confidence,OCR Confidence: 0.07
30,Invalid Plate Format,RInQ
30,Low OCR Confidence,OCR Confidence: 0.17
30,Invalid Plate Format,D
